filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryClustered,0.25,0.0,57.633136094674555,89.0,129600,201600,349200,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.25,1.0,76.07692307692308,95.0,43200,90000,180000,378000
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.5,0.0,76.51479289940828,97.0,43200,93600,198000,331200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.75,0.0,64.34319526627219,91.0,50400,111600,360000,568800
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.0,0.0,65.1775147928994,94.0,54000,172800,327600,399600
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.25,0.0,53.994082840236686,80.0,126000,198000,511200,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.5,0.0,26.059171597633135,52.0,288000,554400,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.75,0.0,26.201183431952664,38.0,230400,0,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,2.0,0.0,13.171597633136095,30.0,522000,0,0,0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryClustered,1.0,0.0,73.53846153846153,89.0,32400,108000,158400,0
