filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryPoisson,0.25,1.0,54.46153846153847,77.0,79200.0,226800.0,471600.0,0.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,0.25,3.0,74.6449704142012,95.0,39600.0,97200.0,194400.0,446400.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,0.5,4.0,75.31952662721893,98.0,46800.0,111600.0,176400.0,403200.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,0.75,3.0,66.92899408284025,88.0,36000.0,144000.0,291600.0,0.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.0,1.0,66.40236686390534,94.0,68400.0,140400.0,291600.0,511200.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.25,1.0,53.17751479289941,83.0,111600.0,241200.0,468000.0,0.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.5,1.0,39.88757396449704,62.0,126000.0,396000.0,0.0,0.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.75,1.0,29.47337278106509,56.000000000000014,266400.0,460800.0,0.0,0.0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,2.0,0.0,24.92899408284024,37.0,241200.0,0.0,0.0,0.0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryPoisson,1.0,5.0,68.91715976331359,84.0,28800.0,79200.0,331200.0,0.0
