filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryPoisson,0.25,1.0,54.46153846153846,77.0,79200,226800,471600,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,0.25,3.0,74.64497041420118,95.0,39600,97200,194400,446400
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,0.5,4.0,75.31952662721893,98.0,46800,111600,176400,403200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,0.75,3.0,66.92899408284023,88.0,36000,144000,291600,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.0,1.0,66.40236686390533,94.0,68400,140400,291600,511200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.25,1.0,53.17751479289941,83.0,111600,241200,468000,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.5,1.0,39.887573964497044,62.0,126000,396000,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,1.75,1.0,29.473372781065088,56.00000000000001,266400,460800,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryPoisson-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryPoisson,2.0,0.0,24.928994082840237,37.0,241200,0,0,0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryPoisson-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryPoisson,1.0,5.0,68.9171597633136,84.0,28800,79200,331200,0
