time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,1,1.0
10800,6,6.0
14400,9,9.0
18000,12,12.0
21600,14,14.000000000000002
25200,22,22.0
28800,23,23.0
32400,25,25.0
36000,27,27.0
39600,28,28.000000000000004
43200,31,31.0
46800,34,34.0
50400,34,34.0
54000,35,35.0
57600,35,35.0
61200,35,35.0
64800,35,35.0
68400,35,35.0
72000,37,37.0
75600,37,37.0
79200,37,37.0
82800,38,38.0
86400,40,40.0
90000,44,44.0
93600,45,45.0
97200,46,46.0
100800,47,47.0
104400,48,48.0
108000,54,54.0
111600,54,54.0
115200,58,57.99999999999999
118800,59,59.0
122400,62,62.0
126000,63,63.0
129600,63,63.0
133200,65,65.0
136800,66,66.0
140400,67,67.0
144000,69,69.0
147600,70,70.0
151200,71,71.0
154800,72,72.0
158400,76,76.0
162000,76,76.0
165600,76,76.0
169200,76,76.0
172800,78,78.0
176400,79,79.0
180000,79,79.0
183600,79,79.0
187200,79,79.0
190800,79,79.0
194400,79,79.0
198000,79,79.0
201600,79,79.0
205200,79,79.0
208800,79,79.0
212400,80,80.0
216000,80,80.0
219600,80,80.0
223200,80,80.0
226800,83,83.0
230400,83,83.0
234000,83,83.0
237600,83,83.0
241200,83,83.0
244800,83,83.0
248400,83,83.0
252000,83,83.0
255600,83,83.0
259200,83,83.0
262800,83,83.0
266400,83,83.0
270000,83,83.0
273600,83,83.0
277200,84,84.0
280800,84,84.0
284400,84,84.0
288000,84,84.0
291600,84,84.0
295200,84,84.0
298800,84,84.0
302400,84,84.0
306000,84,84.0
309600,84,84.0
313200,84,84.0
316800,84,84.0
320400,84,84.0
324000,84,84.0
327600,84,84.0
331200,84,84.0
334800,84,84.0
338400,84,84.0
342000,84,84.0
345600,84,84.0
349200,84,84.0
352800,84,84.0
356400,84,84.0
360000,84,84.0
363600,84,84.0
367200,84,84.0
370800,84,84.0
374400,84,84.0
378000,84,84.0
381600,84,84.0
385200,84,84.0
388800,84,84.0
392400,84,84.0
396000,84,84.0
399600,84,84.0
403200,84,84.0
406800,84,84.0
410400,84,84.0
414000,84,84.0
417600,84,84.0
421200,84,84.0
424800,84,84.0
428400,86,86.0
432000,86,86.0
435600,86,86.0
439200,86,86.0
442800,86,86.0
446400,87,87.0
450000,88,88.0
453600,88,88.0
457200,88,88.0
460800,88,88.0
464400,88,88.0
468000,88,88.0
471600,88,88.0
475200,88,88.0
478800,88,88.0
482400,88,88.0
486000,88,88.0
489600,88,88.0
493200,88,88.0
496800,88,88.0
500400,88,88.0
504000,88,88.0
507600,88,88.0
511200,88,88.0
514800,88,88.0
518400,88,88.0
522000,88,88.0
525600,88,88.0
529200,88,88.0
532800,88,88.0
536400,88,88.0
540000,88,88.0
543600,88,88.0
547200,88,88.0
550800,88,88.0
554400,89,89.0
558000,89,89.0
561600,89,89.0
565200,89,89.0
568800,89,89.0
572400,89,89.0
576000,89,89.0
579600,89,89.0
583200,89,89.0
586800,89,89.0
590400,89,89.0
594000,89,89.0
597600,89,89.0
601200,89,89.0
604800,89,89.0
604800,89,89.0
