time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,1,1.0
10800,1,1.0
14400,1,1.0
18000,1,1.0
21600,3,3.0
25200,9,9.0
28800,10,10.0
32400,17,17.0
36000,22,22.0
39600,22,22.0
43200,25,25.0
46800,27,27.0
50400,27,27.0
54000,28,28.000000000000004
57600,30,30.0
61200,37,37.0
64800,38,38.0
68400,39,39.0
72000,39,39.0
75600,43,43.0
79200,47,47.0
82800,47,47.0
86400,48,48.0
90000,48,48.0
93600,51,51.0
97200,51,51.0
100800,51,51.0
104400,51,51.0
108000,52,52.0
111600,52,52.0
115200,52,52.0
118800,52,52.0
122400,57,56.99999999999999
126000,57,56.99999999999999
129600,57,56.99999999999999
133200,61,61.0
136800,64,64.0
140400,65,65.0
144000,66,66.0
147600,67,67.0
151200,68,68.0
154800,71,71.0
158400,71,71.0
162000,71,71.0
165600,71,71.0
169200,71,71.0
172800,71,71.0
176400,73,73.0
180000,73,73.0
183600,73,73.0
187200,73,73.0
190800,74,74.0
194400,74,74.0
198000,75,75.0
201600,77,77.0
205200,77,77.0
208800,77,77.0
212400,80,80.0
216000,80,80.0
219600,80,80.0
223200,80,80.0
226800,81,81.0
230400,81,81.0
234000,81,81.0
237600,81,81.0
241200,83,83.0
244800,83,83.0
248400,86,86.0
252000,86,86.0
255600,86,86.0
259200,86,86.0
262800,87,87.0
266400,87,87.0
270000,88,88.0
273600,88,88.0
277200,88,88.0
280800,88,88.0
284400,88,88.0
288000,88,88.0
291600,88,88.0
295200,88,88.0
298800,88,88.0
302400,88,88.0
306000,88,88.0
309600,88,88.0
313200,88,88.0
316800,88,88.0
320400,88,88.0
324000,88,88.0
327600,88,88.0
331200,90,90.0
334800,92,92.0
338400,92,92.0
342000,92,92.0
345600,92,92.0
349200,92,92.0
352800,92,92.0
356400,93,93.0
360000,93,93.0
363600,93,93.0
367200,93,93.0
370800,93,93.0
374400,93,93.0
378000,93,93.0
381600,93,93.0
385200,93,93.0
388800,93,93.0
392400,93,93.0
396000,93,93.0
399600,93,93.0
403200,93,93.0
406800,93,93.0
410400,93,93.0
414000,93,93.0
417600,93,93.0
421200,93,93.0
424800,93,93.0
428400,93,93.0
432000,93,93.0
435600,93,93.0
439200,93,93.0
442800,93,93.0
446400,93,93.0
450000,94,94.0
453600,94,94.0
457200,94,94.0
460800,94,94.0
464400,94,94.0
468000,94,94.0
471600,94,94.0
475200,94,94.0
478800,94,94.0
482400,94,94.0
486000,94,94.0
489600,94,94.0
493200,94,94.0
496800,94,94.0
500400,94,94.0
504000,94,94.0
507600,94,94.0
511200,95,95.0
514800,95,95.0
518400,95,95.0
522000,95,95.0
525600,95,95.0
529200,95,95.0
532800,95,95.0
536400,95,95.0
540000,95,95.0
543600,95,95.0
547200,95,95.0
550800,96,96.0
554400,97,97.0
558000,97,97.0
561600,97,97.0
565200,97,97.0
568800,97,97.0
572400,97,97.0
576000,97,97.0
579600,97,97.0
583200,97,97.0
586800,97,97.0
590400,97,97.0
594000,97,97.0
597600,97,97.0
601200,97,97.0
604800,97,97.0
604800,97,97.0
