time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,0,0.0
10800,0,0.0
14400,0,0.0
18000,0,0.0
21600,0,0.0
25200,0,0.0
28800,0,0.0
32400,0,0.0
36000,0,0.0
39600,0,0.0
43200,1,1.0
46800,1,1.0
50400,2,2.0
54000,4,4.0
57600,8,8.0
61200,16,16.0
64800,16,16.0
68400,16,16.0
72000,16,16.0
75600,16,16.0
79200,18,18.0
82800,21,21.0
86400,22,22.0
90000,22,22.0
93600,22,22.0
97200,22,22.0
100800,22,22.0
104400,22,22.0
108000,22,22.0
111600,22,22.0
115200,22,22.0
118800,22,22.0
122400,22,22.0
126000,24,24.0
129600,25,25.0
133200,25,25.0
136800,25,25.0
140400,26,26.0
144000,31,31.0
147600,31,31.0
151200,33,33.0
154800,33,33.0
158400,33,33.0
162000,34,34.0
165600,34,34.0
169200,34,34.0
172800,34,34.0
176400,34,34.0
180000,34,34.0
183600,34,34.0
187200,34,34.0
190800,34,34.0
194400,34,34.0
198000,44,44.0
201600,50,50.0
205200,52,52.0
208800,53,53.0
212400,56,56.00000000000001
216000,56,56.00000000000001
219600,56,56.00000000000001
223200,56,56.00000000000001
226800,56,56.00000000000001
230400,59,59.0
234000,59,59.0
237600,62,62.0
241200,62,62.0
244800,67,67.0
248400,67,67.0
252000,67,67.0
255600,67,67.0
259200,70,70.0
262800,70,70.0
266400,70,70.0
270000,70,70.0
273600,70,70.0
277200,70,70.0
280800,70,70.0
284400,70,70.0
288000,70,70.0
291600,70,70.0
295200,70,70.0
298800,70,70.0
302400,70,70.0
306000,70,70.0
309600,70,70.0
313200,70,70.0
316800,70,70.0
320400,72,72.0
324000,72,72.0
327600,72,72.0
331200,72,72.0
334800,72,72.0
338400,73,73.0
342000,73,73.0
345600,74,74.0
349200,77,77.0
352800,77,77.0
356400,77,77.0
360000,77,77.0
363600,77,77.0
367200,77,77.0
370800,77,77.0
374400,77,77.0
378000,77,77.0
381600,77,77.0
385200,77,77.0
388800,77,77.0
392400,77,77.0
396000,77,77.0
399600,77,77.0
403200,77,77.0
406800,77,77.0
410400,77,77.0
414000,77,77.0
417600,77,77.0
421200,77,77.0
424800,77,77.0
428400,77,77.0
432000,77,77.0
435600,77,77.0
439200,78,78.0
442800,78,78.0
446400,78,78.0
450000,78,78.0
453600,78,78.0
457200,78,78.0
460800,78,78.0
464400,78,78.0
468000,78,78.0
471600,81,81.0
475200,85,85.0
478800,85,85.0
482400,85,85.0
486000,85,85.0
489600,85,85.0
493200,85,85.0
496800,85,85.0
500400,85,85.0
504000,85,85.0
507600,85,85.0
511200,85,85.0
514800,85,85.0
518400,85,85.0
522000,85,85.0
525600,85,85.0
529200,85,85.0
532800,85,85.0
536400,85,85.0
540000,85,85.0
543600,85,85.0
547200,85,85.0
550800,85,85.0
554400,87,87.0
558000,87,87.0
561600,87,87.0
565200,87,87.0
568800,87,87.0
572400,87,87.0
576000,87,87.0
579600,87,87.0
583200,87,87.0
586800,87,87.0
590400,87,87.0
594000,87,87.0
597600,89,89.0
601200,89,89.0
604800,89,89.0
604800,89,89.0
