time,numberOfDiscoveredNodes,percentage
3600,5,5.0
7200,10,10.0
10800,13,13.0
14400,14,14.000000000000002
18000,19,19.0
21600,22,22.0
25200,24,24.0
28800,26,26.0
32400,30,30.0
36000,32,32.0
39600,34,34.0
43200,39,39.0
46800,40,40.0
50400,40,40.0
54000,43,43.0
57600,43,43.0
61200,44,44.0
64800,45,45.0
68400,46,46.0
72000,48,48.0
75600,49,49.0
79200,51,51.0
82800,51,51.0
86400,51,51.0
90000,51,51.0
93600,52,52.0
97200,52,52.0
100800,53,53.0
104400,53,53.0
108000,55,55.00000000000001
111600,56,56.00000000000001
115200,56,56.00000000000001
118800,57,56.99999999999999
122400,57,56.99999999999999
126000,60,60.0
129600,60,60.0
133200,61,61.0
136800,62,62.0
140400,63,63.0
144000,63,63.0
147600,63,63.0
151200,63,63.0
154800,65,65.0
158400,67,67.0
162000,67,67.0
165600,67,67.0
169200,67,67.0
172800,69,69.0
176400,70,70.0
180000,70,70.0
183600,70,70.0
187200,70,70.0
190800,70,70.0
194400,70,70.0
198000,70,70.0
201600,70,70.0
205200,70,70.0
208800,71,71.0
212400,71,71.0
216000,71,71.0
219600,71,71.0
223200,72,72.0
226800,72,72.0
230400,72,72.0
234000,72,72.0
237600,73,73.0
241200,73,73.0
244800,73,73.0
248400,73,73.0
252000,73,73.0
255600,73,73.0
259200,73,73.0
262800,73,73.0
266400,73,73.0
270000,74,74.0
273600,74,74.0
277200,74,74.0
280800,74,74.0
284400,74,74.0
288000,74,74.0
291600,74,74.0
295200,74,74.0
298800,74,74.0
302400,74,74.0
306000,74,74.0
309600,74,74.0
313200,74,74.0
316800,74,74.0
320400,74,74.0
324000,74,74.0
327600,74,74.0
331200,75,75.0
334800,75,75.0
338400,75,75.0
342000,75,75.0
345600,75,75.0
349200,75,75.0
352800,76,76.0
356400,76,76.0
360000,76,76.0
363600,76,76.0
367200,77,77.0
370800,77,77.0
374400,77,77.0
378000,77,77.0
381600,77,77.0
385200,77,77.0
388800,77,77.0
392400,77,77.0
396000,78,78.0
399600,78,78.0
403200,79,79.0
406800,79,79.0
410400,79,79.0
414000,79,79.0
417600,80,80.0
421200,80,80.0
424800,80,80.0
428400,80,80.0
432000,80,80.0
435600,80,80.0
439200,80,80.0
442800,80,80.0
446400,80,80.0
450000,80,80.0
453600,80,80.0
457200,81,81.0
460800,81,81.0
464400,81,81.0
468000,81,81.0
471600,81,81.0
475200,81,81.0
478800,81,81.0
482400,81,81.0
486000,81,81.0
489600,81,81.0
493200,81,81.0
496800,81,81.0
500400,81,81.0
504000,81,81.0
507600,82,82.0
511200,82,82.0
514800,82,82.0
518400,82,82.0
522000,82,82.0
525600,82,82.0
529200,83,83.0
532800,83,83.0
536400,83,83.0
540000,83,83.0
543600,83,83.0
547200,83,83.0
550800,83,83.0
554400,83,83.0
558000,84,84.0
561600,84,84.0
565200,84,84.0
568800,84,84.0
572400,84,84.0
576000,84,84.0
579600,84,84.0
583200,84,84.0
586800,84,84.0
590400,84,84.0
594000,84,84.0
597600,84,84.0
601200,84,84.0
604800,84,84.0
604800,84,84.0
