time,numberOfDiscoveredNodes,percentage
3600,1,1.0
7200,2,2.0
10800,2,2.0
14400,2,2.0
18000,3,3.0
21600,3,3.0
25200,4,4.0
28800,5,5.0
32400,5,5.0
36000,5,5.0
39600,6,6.0
43200,7,7.000000000000001
46800,7,7.000000000000001
50400,9,9.0
54000,9,9.0
57600,11,11.0
61200,11,11.0
64800,12,12.0
68400,14,14.000000000000002
72000,14,14.000000000000002
75600,16,16.0
79200,17,17.0
82800,17,17.0
86400,20,20.0
90000,20,20.0
93600,21,21.0
97200,21,21.0
100800,21,21.0
104400,22,22.0
108000,23,23.0
111600,23,23.0
115200,24,24.0
118800,24,24.0
122400,24,24.0
126000,25,25.0
129600,25,25.0
133200,25,25.0
136800,25,25.0
140400,25,25.0
144000,25,25.0
147600,25,25.0
151200,26,26.0
154800,27,27.0
158400,29,28.999999999999996
162000,30,30.0
165600,32,32.0
169200,33,33.0
172800,35,35.0
176400,36,36.0
180000,36,36.0
183600,36,36.0
187200,36,36.0
190800,36,36.0
194400,36,36.0
198000,37,37.0
201600,37,37.0
205200,37,37.0
208800,37,37.0
212400,38,38.0
216000,38,38.0
219600,38,38.0
223200,38,38.0
226800,39,39.0
230400,40,40.0
234000,40,40.0
237600,40,40.0
241200,40,40.0
244800,41,41.0
248400,41,41.0
252000,41,41.0
255600,41,41.0
259200,41,41.0
262800,41,41.0
266400,41,41.0
270000,41,41.0
273600,41,41.0
277200,41,41.0
280800,43,43.0
284400,43,43.0
288000,43,43.0
291600,45,45.0
295200,45,45.0
298800,45,45.0
302400,45,45.0
306000,46,46.0
309600,46,46.0
313200,47,47.0
316800,47,47.0
320400,47,47.0
324000,47,47.0
327600,47,47.0
331200,47,47.0
334800,47,47.0
338400,47,47.0
342000,47,47.0
345600,47,47.0
349200,48,48.0
352800,48,48.0
356400,49,49.0
360000,49,49.0
363600,49,49.0
367200,49,49.0
370800,49,49.0
374400,49,49.0
378000,49,49.0
381600,49,49.0
385200,49,49.0
388800,49,49.0
392400,49,49.0
396000,50,50.0
399600,50,50.0
403200,50,50.0
406800,50,50.0
410400,51,51.0
414000,51,51.0
417600,51,51.0
421200,51,51.0
424800,51,51.0
428400,51,51.0
432000,51,51.0
435600,51,51.0
439200,51,51.0
442800,51,51.0
446400,51,51.0
450000,51,51.0
453600,51,51.0
457200,51,51.0
460800,51,51.0
464400,51,51.0
468000,51,51.0
471600,51,51.0
475200,51,51.0
478800,51,51.0
482400,51,51.0
486000,51,51.0
489600,51,51.0
493200,51,51.0
496800,51,51.0
500400,52,52.0
504000,53,53.0
507600,54,54.0
511200,54,54.0
514800,55,55.00000000000001
518400,55,55.00000000000001
522000,55,55.00000000000001
525600,56,56.00000000000001
529200,56,56.00000000000001
532800,57,56.99999999999999
536400,59,59.0
540000,59,59.0
543600,59,59.0
547200,59,59.0
550800,59,59.0
554400,59,59.0
558000,59,59.0
561600,59,59.0
565200,61,61.0
568800,61,61.0
572400,62,62.0
576000,62,62.0
579600,62,62.0
583200,62,62.0
586800,62,62.0
590400,62,62.0
594000,62,62.0
597600,62,62.0
601200,62,62.0
604800,62,62.0
604800,62,62.0
