time,numberOfDiscoveredNodes,percentage
3600,1,1.0
7200,3,3.0
10800,4,4.0
14400,4,4.0
18000,4,4.0
21600,4,4.0
25200,6,6.0
28800,6,6.0
32400,6,6.0
36000,7,7.000000000000001
39600,10,10.0
43200,11,11.0
46800,12,12.0
50400,13,13.0
54000,16,16.0
57600,16,16.0
61200,16,16.0
64800,20,20.0
68400,22,22.0
72000,22,22.0
75600,24,24.0
79200,25,25.0
82800,25,25.0
86400,26,26.0
90000,26,26.0
93600,27,27.0
97200,28,28.000000000000004
100800,28,28.000000000000004
104400,28,28.000000000000004
108000,29,28.999999999999996
111600,29,28.999999999999996
115200,31,31.0
118800,31,31.0
122400,31,31.0
126000,31,31.0
129600,31,31.0
133200,32,32.0
136800,33,33.0
140400,33,33.0
144000,33,33.0
147600,34,34.0
151200,34,34.0
154800,35,35.0
158400,35,35.0
162000,36,36.0
165600,38,38.0
169200,39,39.0
172800,39,39.0
176400,40,40.0
180000,40,40.0
183600,40,40.0
187200,40,40.0
190800,41,41.0
194400,42,42.0
198000,43,43.0
201600,44,44.0
205200,45,45.0
208800,47,47.0
212400,49,49.0
216000,49,49.0
219600,49,49.0
223200,49,49.0
226800,50,50.0
230400,51,51.0
234000,51,51.0
237600,53,53.0
241200,53,53.0
244800,54,54.0
248400,55,55.00000000000001
252000,55,55.00000000000001
255600,56,56.00000000000001
259200,56,56.00000000000001
262800,58,57.99999999999999
266400,59,59.0
270000,60,60.0
273600,61,61.0
277200,61,61.0
280800,61,61.0
284400,62,62.0
288000,64,64.0
291600,65,65.0
295200,65,65.0
298800,65,65.0
302400,65,65.0
306000,66,66.0
309600,66,66.0
313200,67,67.0
316800,68,68.0
320400,68,68.0
324000,68,68.0
327600,69,69.0
331200,69,69.0
334800,69,69.0
338400,69,69.0
342000,69,69.0
345600,69,69.0
349200,69,69.0
352800,69,69.0
356400,69,69.0
360000,70,70.0
363600,71,71.0
367200,71,71.0
370800,71,71.0
374400,71,71.0
378000,71,71.0
381600,71,71.0
385200,71,71.0
388800,71,71.0
392400,71,71.0
396000,71,71.0
399600,71,71.0
403200,71,71.0
406800,71,71.0
410400,71,71.0
414000,72,72.0
417600,72,72.0
421200,72,72.0
424800,72,72.0
428400,72,72.0
432000,72,72.0
435600,72,72.0
439200,72,72.0
442800,72,72.0
446400,72,72.0
450000,73,73.0
453600,73,73.0
457200,73,73.0
460800,74,74.0
464400,74,74.0
468000,74,74.0
471600,76,76.0
475200,76,76.0
478800,76,76.0
482400,76,76.0
486000,76,76.0
489600,76,76.0
493200,76,76.0
496800,76,76.0
500400,76,76.0
504000,76,76.0
507600,76,76.0
511200,76,76.0
514800,76,76.0
518400,76,76.0
522000,76,76.0
525600,76,76.0
529200,76,76.0
532800,76,76.0
536400,76,76.0
540000,76,76.0
543600,77,77.0
547200,77,77.0
550800,77,77.0
554400,77,77.0
558000,77,77.0
561600,77,77.0
565200,77,77.0
568800,77,77.0
572400,77,77.0
576000,77,77.0
579600,77,77.0
583200,77,77.0
586800,77,77.0
590400,77,77.0
594000,77,77.0
597600,77,77.0
601200,77,77.0
604800,77,77.0
604800,77,77.0
