time,numberOfDiscoveredNodes,percentage
3600,1,1.0
7200,5,5.0
10800,5,5.0
14400,6,6.0
18000,10,10.0
21600,11,11.0
25200,11,11.0
28800,13,13.0
32400,13,13.0
36000,13,13.0
39600,13,13.0
43200,14,14.000000000000002
46800,16,16.0
50400,18,18.0
54000,18,18.0
57600,18,18.0
61200,18,18.0
64800,20,20.0
68400,21,21.0
72000,26,26.0
75600,27,27.0
79200,27,27.0
82800,30,30.0
86400,31,31.0
90000,31,31.0
93600,32,32.0
97200,32,32.0
100800,33,33.0
104400,33,33.0
108000,33,33.0
111600,33,33.0
115200,33,33.0
118800,34,34.0
122400,34,34.0
126000,37,37.0
129600,39,39.0
133200,39,39.0
136800,39,39.0
140400,39,39.0
144000,39,39.0
147600,39,39.0
151200,41,41.0
154800,43,43.0
158400,43,43.0
162000,44,44.0
165600,44,44.0
169200,44,44.0
172800,44,44.0
176400,49,49.0
180000,49,49.0
183600,49,49.0
187200,50,50.0
190800,51,51.0
194400,51,51.0
198000,51,51.0
201600,51,51.0
205200,51,51.0
208800,51,51.0
212400,51,51.0
216000,52,52.0
219600,52,52.0
223200,52,52.0
226800,52,52.0
230400,53,53.0
234000,56,56.00000000000001
237600,59,59.0
241200,59,59.0
244800,62,62.0
248400,62,62.0
252000,62,62.0
255600,62,62.0
259200,62,62.0
262800,62,62.0
266400,62,62.0
270000,62,62.0
273600,62,62.0
277200,62,62.0
280800,62,62.0
284400,62,62.0
288000,63,63.0
291600,63,63.0
295200,64,64.0
298800,64,64.0
302400,64,64.0
306000,64,64.0
309600,64,64.0
313200,64,64.0
316800,64,64.0
320400,64,64.0
324000,64,64.0
327600,64,64.0
331200,64,64.0
334800,64,64.0
338400,64,64.0
342000,64,64.0
345600,64,64.0
349200,67,67.0
352800,67,67.0
356400,67,67.0
360000,67,67.0
363600,67,67.0
367200,67,67.0
370800,67,67.0
374400,67,67.0
378000,67,67.0
381600,71,71.0
385200,71,71.0
388800,71,71.0
392400,71,71.0
396000,71,71.0
399600,72,72.0
403200,72,72.0
406800,72,72.0
410400,72,72.0
414000,72,72.0
417600,72,72.0
421200,72,72.0
424800,72,72.0
428400,72,72.0
432000,72,72.0
435600,72,72.0
439200,72,72.0
442800,72,72.0
446400,72,72.0
450000,72,72.0
453600,72,72.0
457200,75,75.0
460800,75,75.0
464400,75,75.0
468000,78,78.0
471600,78,78.0
475200,78,78.0
478800,78,78.0
482400,78,78.0
486000,78,78.0
489600,78,78.0
493200,78,78.0
496800,78,78.0
500400,78,78.0
504000,78,78.0
507600,78,78.0
511200,78,78.0
514800,78,78.0
518400,78,78.0
522000,78,78.0
525600,78,78.0
529200,78,78.0
532800,78,78.0
536400,78,78.0
540000,78,78.0
543600,78,78.0
547200,78,78.0
550800,78,78.0
554400,78,78.0
558000,78,78.0
561600,78,78.0
565200,78,78.0
568800,78,78.0
572400,78,78.0
576000,78,78.0
579600,79,79.0
583200,79,79.0
586800,79,79.0
590400,79,79.0
594000,79,79.0
597600,79,79.0
601200,79,79.0
604800,79,79.0
604800,79,79.0
