time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,0,0.0
10800,0,0.0
14400,0,0.0
18000,0,0.0
21600,0,0.0
25200,0,0.0
28800,0,0.0
32400,0,0.0
36000,0,0.0
39600,0,0.0
43200,0,0.0
46800,0,0.0
50400,0,0.0
54000,0,0.0
57600,0,0.0
61200,0,0.0
64800,0,0.0
68400,0,0.0
72000,0,0.0
75600,0,0.0
79200,0,0.0
82800,0,0.0
86400,0,0.0
90000,0,0.0
93600,0,0.0
97200,0,0.0
100800,0,0.0
104400,0,0.0
108000,0,0.0
111600,0,0.0
115200,0,0.0
118800,0,0.0
122400,2,2.0
126000,2,2.0
129600,3,3.0
133200,6,6.0
136800,12,12.0
140400,13,13.0
144000,13,13.0
147600,13,13.0
151200,13,13.0
154800,13,13.0
158400,14,14.000000000000002
162000,22,22.0
165600,22,22.0
169200,24,24.0
172800,24,24.0
176400,24,24.0
180000,24,24.0
183600,24,24.0
187200,24,24.0
190800,24,24.0
194400,24,24.0
198000,24,24.0
201600,24,24.0
205200,24,24.0
208800,24,24.0
212400,24,24.0
216000,24,24.0
219600,24,24.0
223200,24,24.0
226800,24,24.0
230400,24,24.0
234000,24,24.0
237600,24,24.0
241200,24,24.0
244800,24,24.0
248400,24,24.0
252000,24,24.0
255600,24,24.0
259200,24,24.0
262800,24,24.0
266400,24,24.0
270000,24,24.0
273600,24,24.0
277200,24,24.0
280800,24,24.0
284400,24,24.0
288000,24,24.0
291600,24,24.0
295200,24,24.0
298800,24,24.0
302400,24,24.0
306000,24,24.0
309600,24,24.0
313200,24,24.0
316800,24,24.0
320400,24,24.0
324000,24,24.0
327600,24,24.0
331200,24,24.0
334800,24,24.0
338400,24,24.0
342000,24,24.0
345600,24,24.0
349200,24,24.0
352800,24,24.0
356400,24,24.0
360000,24,24.0
363600,25,25.0
367200,29,28.999999999999996
370800,29,28.999999999999996
374400,29,28.999999999999996
378000,29,28.999999999999996
381600,29,28.999999999999996
385200,29,28.999999999999996
388800,29,28.999999999999996
392400,29,28.999999999999996
396000,30,30.0
399600,37,37.0
403200,46,46.0
406800,46,46.0
410400,47,47.0
414000,49,49.0
417600,50,50.0
421200,50,50.0
424800,50,50.0
428400,52,52.0
432000,52,52.0
435600,52,52.0
439200,53,53.0
442800,53,53.0
446400,53,53.0
450000,53,53.0
453600,53,53.0
457200,55,55.00000000000001
460800,55,55.00000000000001
464400,55,55.00000000000001
468000,60,60.0
471600,61,61.0
475200,62,62.0
478800,62,62.0
482400,62,62.0
486000,63,63.0
489600,63,63.0
493200,64,64.0
496800,65,65.0
500400,65,65.0
504000,65,65.0
507600,65,65.0
511200,65,65.0
514800,71,71.0
518400,72,72.0
522000,72,72.0
525600,72,72.0
529200,72,72.0
532800,72,72.0
536400,73,73.0
540000,73,73.0
543600,73,73.0
547200,76,76.0
550800,76,76.0
554400,76,76.0
558000,76,76.0
561600,76,76.0
565200,76,76.0
568800,76,76.0
572400,76,76.0
576000,77,77.0
579600,77,77.0
583200,77,77.0
586800,77,77.0
590400,77,77.0
594000,77,77.0
597600,77,77.0
601200,77,77.0
604800,77,77.0
604800,77,77.0
