time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,1,1.0
10800,4,4.0
14400,8,8.0
18000,16,16.0
21600,23,23.0
25200,25,25.0
28800,26,26.0
32400,26,26.0
36000,26,26.0
39600,27,27.0
43200,28,28.000000000000004
46800,31,31.0
50400,32,32.0
54000,36,36.0
57600,42,42.0
61200,44,44.0
64800,44,44.0
68400,44,44.0
72000,44,44.0
75600,44,44.0
79200,46,46.0
82800,46,46.0
86400,49,49.0
90000,50,50.0
93600,53,53.0
97200,53,53.0
100800,54,54.0
104400,54,54.0
108000,54,54.0
111600,54,54.0
115200,54,54.0
118800,54,54.0
122400,59,59.0
126000,62,62.0
129600,63,63.0
133200,63,63.0
136800,64,64.0
140400,64,64.0
144000,64,64.0
147600,64,64.0
151200,68,68.0
154800,68,68.0
158400,71,71.0
162000,71,71.0
165600,71,71.0
169200,71,71.0
172800,71,71.0
176400,73,73.0
180000,73,73.0
183600,75,75.0
187200,75,75.0
190800,75,75.0
194400,75,75.0
198000,76,76.0
201600,76,76.0
205200,78,78.0
208800,78,78.0
212400,78,78.0
216000,78,78.0
219600,78,78.0
223200,78,78.0
226800,79,79.0
230400,79,79.0
234000,79,79.0
237600,79,79.0
241200,79,79.0
244800,79,79.0
248400,82,82.0
252000,82,82.0
255600,82,82.0
259200,82,82.0
262800,82,82.0
266400,82,82.0
270000,82,82.0
273600,83,83.0
277200,83,83.0
280800,83,83.0
284400,83,83.0
288000,83,83.0
291600,83,83.0
295200,83,83.0
298800,83,83.0
302400,83,83.0
306000,84,84.0
309600,84,84.0
313200,84,84.0
316800,84,84.0
320400,85,85.0
324000,85,85.0
327600,85,85.0
331200,85,85.0
334800,85,85.0
338400,85,85.0
342000,85,85.0
345600,85,85.0
349200,85,85.0
352800,85,85.0
356400,85,85.0
360000,87,87.0
363600,88,88.0
367200,88,88.0
370800,88,88.0
374400,88,88.0
378000,88,88.0
381600,88,88.0
385200,89,89.0
388800,89,89.0
392400,89,89.0
396000,89,89.0
399600,89,89.0
403200,89,89.0
406800,90,90.0
410400,90,90.0
414000,90,90.0
417600,90,90.0
421200,90,90.0
424800,90,90.0
428400,90,90.0
432000,90,90.0
435600,90,90.0
439200,90,90.0
442800,90,90.0
446400,90,90.0
450000,90,90.0
453600,90,90.0
457200,90,90.0
460800,90,90.0
464400,90,90.0
468000,90,90.0
471600,90,90.0
475200,90,90.0
478800,90,90.0
482400,92,92.0
486000,92,92.0
489600,93,93.0
493200,93,93.0
496800,93,93.0
500400,93,93.0
504000,93,93.0
507600,94,94.0
511200,94,94.0
514800,95,95.0
518400,95,95.0
522000,95,95.0
525600,95,95.0
529200,95,95.0
532800,95,95.0
536400,95,95.0
540000,95,95.0
543600,95,95.0
547200,95,95.0
550800,95,95.0
554400,95,95.0
558000,95,95.0
561600,95,95.0
565200,95,95.0
568800,95,95.0
572400,95,95.0
576000,95,95.0
579600,95,95.0
583200,95,95.0
586800,95,95.0
590400,95,95.0
594000,95,95.0
597600,95,95.0
601200,95,95.0
604800,95,95.0
604800,95,95.0
