time,numberOfDiscoveredNodes,percentage
3600,2,2.0
7200,2,2.0
10800,2,2.0
14400,9,9.0
18000,9,9.0
21600,13,13.0
25200,14,14.000000000000002
28800,14,14.000000000000002
32400,14,14.000000000000002
36000,14,14.000000000000002
39600,14,14.000000000000002
43200,14,14.000000000000002
46800,14,14.000000000000002
50400,14,14.000000000000002
54000,14,14.000000000000002
57600,22,22.0
61200,22,22.0
64800,22,22.0
68400,22,22.0
72000,22,22.0
75600,22,22.0
79200,22,22.0
82800,22,22.0
86400,22,22.0
90000,27,27.0
93600,32,32.0
97200,38,38.0
100800,40,40.0
104400,40,40.0
108000,43,43.0
111600,43,43.0
115200,43,43.0
118800,43,43.0
122400,43,43.0
126000,43,43.0
129600,43,43.0
133200,45,45.0
136800,45,45.0
140400,45,45.0
144000,49,49.0
147600,49,49.0
151200,49,49.0
154800,49,49.0
158400,49,49.0
162000,53,53.0
165600,53,53.0
169200,54,54.0
172800,54,54.0
176400,54,54.0
180000,54,54.0
183600,55,55.00000000000001
187200,55,55.00000000000001
190800,55,55.00000000000001
194400,55,55.00000000000001
198000,55,55.00000000000001
201600,55,55.00000000000001
205200,55,55.00000000000001
208800,55,55.00000000000001
212400,55,55.00000000000001
216000,55,55.00000000000001
219600,55,55.00000000000001
223200,55,55.00000000000001
226800,55,55.00000000000001
230400,55,55.00000000000001
234000,55,55.00000000000001
237600,55,55.00000000000001
241200,55,55.00000000000001
244800,55,55.00000000000001
248400,55,55.00000000000001
252000,55,55.00000000000001
255600,55,55.00000000000001
259200,56,56.00000000000001
262800,57,56.99999999999999
266400,59,59.0
270000,60,60.0
273600,60,60.0
277200,60,60.0
280800,60,60.0
284400,61,61.0
288000,61,61.0
291600,61,61.0
295200,61,61.0
298800,61,61.0
302400,61,61.0
306000,61,61.0
309600,61,61.0
313200,61,61.0
316800,61,61.0
320400,61,61.0
324000,61,61.0
327600,61,61.0
331200,61,61.0
334800,61,61.0
338400,61,61.0
342000,61,61.0
345600,61,61.0
349200,61,61.0
352800,61,61.0
356400,63,63.0
360000,64,64.0
363600,65,65.0
367200,66,66.0
370800,67,67.0
374400,67,67.0
378000,67,67.0
381600,67,67.0
385200,67,67.0
388800,67,67.0
392400,67,67.0
396000,67,67.0
399600,67,67.0
403200,67,67.0
406800,67,67.0
410400,67,67.0
414000,67,67.0
417600,67,67.0
421200,67,67.0
424800,67,67.0
428400,67,67.0
432000,67,67.0
435600,67,67.0
439200,67,67.0
442800,67,67.0
446400,67,67.0
450000,67,67.0
453600,68,68.0
457200,68,68.0
460800,68,68.0
464400,68,68.0
468000,68,68.0
471600,68,68.0
475200,68,68.0
478800,68,68.0
482400,68,68.0
486000,68,68.0
489600,68,68.0
493200,68,68.0
496800,68,68.0
500400,68,68.0
504000,68,68.0
507600,68,68.0
511200,68,68.0
514800,68,68.0
518400,68,68.0
522000,68,68.0
525600,68,68.0
529200,68,68.0
532800,68,68.0
536400,68,68.0
540000,68,68.0
543600,68,68.0
547200,68,68.0
550800,68,68.0
554400,68,68.0
558000,68,68.0
561600,68,68.0
565200,68,68.0
568800,68,68.0
572400,68,68.0
576000,68,68.0
579600,68,68.0
583200,68,68.0
586800,68,68.0
590400,68,68.0
594000,70,70.0
597600,71,71.0
601200,72,72.0
604800,72,72.0
604800,72,72.0
