time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,0,0.0
10800,0,0.0
14400,0,0.0
18000,0,0.0
21600,0,0.0
25200,1,1.0
28800,2,2.0
32400,2,2.0
36000,2,2.0
39600,2,2.0
43200,2,2.0
46800,2,2.0
50400,2,2.0
54000,2,2.0
57600,2,2.0
61200,2,2.0
64800,2,2.0
68400,2,2.0
72000,2,2.0
75600,2,2.0
79200,2,2.0
82800,2,2.0
86400,2,2.0
90000,2,2.0
93600,3,3.0
97200,3,3.0
100800,3,3.0
104400,3,3.0
108000,3,3.0
111600,3,3.0
115200,3,3.0
118800,3,3.0
122400,3,3.0
126000,3,3.0
129600,3,3.0
133200,3,3.0
136800,3,3.0
140400,3,3.0
144000,3,3.0
147600,3,3.0
151200,4,4.0
154800,4,4.0
158400,4,4.0
162000,4,4.0
165600,11,11.0
169200,13,13.0
172800,13,13.0
176400,13,13.0
180000,13,13.0
183600,13,13.0
187200,13,13.0
190800,13,13.0
194400,16,16.0
198000,17,17.0
201600,17,17.0
205200,17,17.0
208800,17,17.0
212400,17,17.0
216000,17,17.0
219600,17,17.0
223200,17,17.0
226800,18,18.0
230400,21,21.0
234000,21,21.0
237600,21,21.0
241200,21,21.0
244800,21,21.0
248400,21,21.0
252000,21,21.0
255600,22,22.0
259200,22,22.0
262800,22,22.0
266400,23,23.0
270000,23,23.0
273600,24,24.0
277200,24,24.0
280800,24,24.0
284400,27,27.0
288000,27,27.0
291600,27,27.0
295200,27,27.0
298800,27,27.0
302400,27,27.0
306000,27,27.0
309600,27,27.0
313200,27,27.0
316800,27,27.0
320400,27,27.0
324000,27,27.0
327600,27,27.0
331200,27,27.0
334800,27,27.0
338400,27,27.0
342000,27,27.0
345600,27,27.0
349200,27,27.0
352800,27,27.0
356400,27,27.0
360000,27,27.0
363600,27,27.0
367200,27,27.0
370800,27,27.0
374400,27,27.0
378000,27,27.0
381600,27,27.0
385200,27,27.0
388800,27,27.0
392400,27,27.0
396000,27,27.0
399600,27,27.0
403200,27,27.0
406800,27,27.0
410400,27,27.0
414000,27,27.0
417600,27,27.0
421200,27,27.0
424800,27,27.0
428400,27,27.0
432000,27,27.0
435600,27,27.0
439200,27,27.0
442800,27,27.0
446400,27,27.0
450000,27,27.0
453600,27,27.0
457200,27,27.0
460800,27,27.0
464400,27,27.0
468000,27,27.0
471600,27,27.0
475200,27,27.0
478800,27,27.0
482400,27,27.0
486000,27,27.0
489600,27,27.0
493200,27,27.0
496800,27,27.0
500400,27,27.0
504000,27,27.0
507600,27,27.0
511200,27,27.0
514800,27,27.0
518400,27,27.0
522000,27,27.0
525600,27,27.0
529200,27,27.0
532800,27,27.0
536400,27,27.0
540000,27,27.0
543600,27,27.0
547200,28,28.000000000000004
550800,28,28.000000000000004
554400,31,31.0
558000,37,37.0
561600,37,37.0
565200,37,37.0
568800,37,37.0
572400,37,37.0
576000,37,37.0
579600,37,37.0
583200,37,37.0
586800,37,37.0
590400,37,37.0
594000,37,37.0
597600,37,37.0
601200,37,37.0
604800,37,37.0
604800,37,37.0
