time,numberOfDiscoveredNodes,percentage
3600,5,5.0
7200,7,7.000000000000001
10800,13,13.0
14400,15,15.0
18000,16,16.0
21600,24,24.0
25200,27,27.0
28800,33,33.0
32400,37,37.0
36000,38,38.0
39600,40,40.0
43200,40,40.0
46800,42,42.0
50400,42,42.0
54000,42,42.0
57600,43,43.0
61200,44,44.0
64800,45,45.0
68400,48,48.0
72000,48,48.0
75600,49,49.0
79200,50,50.0
82800,50,50.0
86400,51,51.0
90000,51,51.0
93600,52,52.0
97200,52,52.0
100800,52,52.0
104400,54,54.0
108000,54,54.0
111600,57,56.99999999999999
115200,60,60.0
118800,60,60.0
122400,60,60.0
126000,62,62.0
129600,63,63.0
133200,63,63.0
136800,63,63.0
140400,63,63.0
144000,63,63.0
147600,63,63.0
151200,63,63.0
154800,63,63.0
158400,63,63.0
162000,63,63.0
165600,64,64.0
169200,64,64.0
172800,67,67.0
176400,67,67.0
180000,67,67.0
183600,68,68.0
187200,68,68.0
190800,69,69.0
194400,69,69.0
198000,69,69.0
201600,69,69.0
205200,69,69.0
208800,69,69.0
212400,69,69.0
216000,69,69.0
219600,70,70.0
223200,71,71.0
226800,73,73.0
230400,73,73.0
234000,73,73.0
237600,73,73.0
241200,73,73.0
244800,73,73.0
248400,73,73.0
252000,74,74.0
255600,74,74.0
259200,74,74.0
262800,74,74.0
266400,75,75.0
270000,75,75.0
273600,75,75.0
277200,75,75.0
280800,75,75.0
284400,75,75.0
288000,75,75.0
291600,75,75.0
295200,75,75.0
298800,75,75.0
302400,75,75.0
306000,75,75.0
309600,75,75.0
313200,75,75.0
316800,75,75.0
320400,76,76.0
324000,76,76.0
327600,80,80.0
331200,80,80.0
334800,80,80.0
338400,80,80.0
342000,80,80.0
345600,80,80.0
349200,80,80.0
352800,80,80.0
356400,80,80.0
360000,80,80.0
363600,80,80.0
367200,80,80.0
370800,82,82.0
374400,82,82.0
378000,82,82.0
381600,82,82.0
385200,82,82.0
388800,82,82.0
392400,82,82.0
396000,82,82.0
399600,82,82.0
403200,82,82.0
406800,82,82.0
410400,82,82.0
414000,82,82.0
417600,82,82.0
421200,82,82.0
424800,82,82.0
428400,82,82.0
432000,82,82.0
435600,82,82.0
439200,82,82.0
442800,82,82.0
446400,82,82.0
450000,82,82.0
453600,82,82.0
457200,82,82.0
460800,82,82.0
464400,82,82.0
468000,82,82.0
471600,82,82.0
475200,82,82.0
478800,82,82.0
482400,82,82.0
486000,82,82.0
489600,82,82.0
493200,82,82.0
496800,82,82.0
500400,82,82.0
504000,82,82.0
507600,82,82.0
511200,82,82.0
514800,82,82.0
518400,82,82.0
522000,82,82.0
525600,82,82.0
529200,82,82.0
532800,82,82.0
536400,82,82.0
540000,82,82.0
543600,82,82.0
547200,82,82.0
550800,82,82.0
554400,82,82.0
558000,82,82.0
561600,82,82.0
565200,82,82.0
568800,83,83.0
572400,83,83.0
576000,83,83.0
579600,83,83.0
583200,83,83.0
586800,83,83.0
590400,83,83.0
594000,83,83.0
597600,83,83.0
601200,84,84.0
604800,84,84.0
604800,84,84.0
